AnoMes,PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,FORMAINICIACAO,NATUREZA,FINALIDADE,VALOR,QUANTIDADE
202412,PF,PF,SUDESTE,NORTE,mais de 60 anos,entre 50 e 59 anos,MANU,P2P,Pix,3702831.74,4306
202410,PF,PF,CENTRO-OESTE,CENTRO-OESTE,entre 20 e 29 anos,entre 50 e 59 anos,MANU,P2P,Pix,152195532.52,628176
202505,PF,PF,Nao informado,Nao informado,mais de 60 anos,mais de 60 anos,MANU,P2P,Pix,9119725.64,3216
202506,PF,PF,CENTRO-OESTE,Nao informado,entre 40 e 49 anos,entre 40 e 49 anos,Nao disponivel,P2P,Nao disponivel,5204.41,9
202307,PF,PF,NORTE,NORDESTE,entre 50 e 59 anos,mais de 60 anos,QRES,P2P,Pix,171530.5,3032
202508,PF,PJ,CENTRO-OESTE,NORTE,entre 30 e 39 anos,Nao se aplica,Nao disponivel,P2B,Nao disponivel,160288.09,115
202308,PJ,PJ,SUDESTE,SUDESTE,Nao se aplica,Nao se aplica,MANU,B2G,Pix,100617216.31,3098
202309,PF,PF,CENTRO-OESTE,Nao informado,até 19 anos,Nao informado,DICT,P2P,Pix,395.5,10
202504,PF,PF,SUDESTE,SUDESTE,até 19 anos,até 19 anos,MANU,P2P,Pix,540160441.17,5897903
202407,PF,PF,NORDESTE,SUL,entre 40 e 49 anos,mais de 60 anos,QRDN,P2P,Pix,252868.7,3130
202309,PF,PF,NORTE,SUL,mais de 60 anos,mais de 60 anos,DICT,P2P,Pix,3674552.42,5864
202309,PF,PF,CENTRO-OESTE,NORDESTE,entre 40 e 49 anos,entre 30 e 39 anos,Nao disponivel,P2P,Nao disponivel,93162.11,642
202403,PJ,PF,SUL,SUL,Nao se aplica,até 19 anos,QRDN,B2P,Pix,154303.08,1578
202308,PF,PF,SUL,SUDESTE,mais de 60 anos,entre 50 e 59 anos,DICT,P2P,Pix,29212607.15,53409
202311,PF,PF,SUDESTE,Nao informado,entre 40 e 49 anos,entre 50 e 59 anos,QRES,P2P,Pix,19072.96,234
202309,PF,PF,SUDESTE,CENTRO-OESTE,mais de 60 anos,entre 20 e 29 anos,QRDN,P2P,Pix,52847.84,765
202401,PF,PF,SUDESTE,SUL,entre 20 e 29 anos,até 19 anos,DICT,P2P,Pix,4654049.02,57220
202304,PF,PF,SUDESTE,NORTE,até 19 anos,entre 40 e 49 anos,MANU,P2P,Pix,140360.15,1411
202310,PF,PJ,NORDESTE,Nao informado,mais de 60 anos,Nao se aplica,DICT,P2B,Pix,13021.24,63
