AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202305,4103107,BOCAIÚVA DO SUL,41,PARANÁ,SU,SUL,18577946.82,101951,28048316.41,11454,21185443.32,71169,31565590.57,18207,5965,399,5926,388
202404,3163409,SÃO JOSÉ DO GOIABAL,31,MINAS GERAIS,SE,SUDESTE,9002894.41,58957,1440952.01,1766,8467640.65,36029,1330753.19,7441,2468,137,2418,145
202311,3100104,ABADIA DOS DOURADOS,31,MINAS GERAIS,SE,SUDESTE,12573187.85,47166,3023799.56,3245,15125564.93,32003,3567487.6,9238,2597,192,2525,191
202408,2916104,ITAPARICA,29,BAHIA,NE,NORDESTE,60743213.32,540631,6440488.08,11954,59155147.3,417515,6012092.05,31871,12476,353,12718,321
202406,2207009,OEIRAS,22,PIAUÍ,NE,NORDESTE,96585916.4,699189,48300462.26,35181,91133243.01,445772,36937011.86,125065,20461,861,20950,816
202508,3170305,UMBURATIBA,31,MINAS GERAIS,SE,SUDESTE,9017964.76,61011,1750604.69,2085,8379996.22,36021,1682640.87,5975,1762,68,1704,65
202502,1303908,SÃO PAULO DE OLIVENÇA,13,AMAZONAS,NO,NORTE,23874048.28,159207,5116280.32,4613,20886381.11,95525,3733441.09,10054,6681,173,6812,158
202506,2402501,CARNAUBAIS,24,RIO GRANDE DO NORTE,NE,NORDESTE,30563118.88,234801,5352113.98,9680,27494027.37,149682,4226515.1,29821,6223,147,5971,131
202509,3549805,SÃO JOSÉ DO RIO PRETO,35,SÃO PAULO,SE,SUDESTE,505789347.79,1582232,991847644.28,258508,550447167.67,928061,887208147.91,765762,261433,31874,214722,29009
202310,3135506,JEQUERI,31,MINAS GERAIS,SE,SUDESTE,14199984.29,80448,2800983.26,3264,13801825.03,50146,3627723.9,9350,4002,219,3875,224
202309,2101608,BARRA DO CORDA,21,MARANHÃO,NE,NORDESTE,174907122.54,1064956,42339318.55,41900,168464957.69,771855,51983220.73,141073,38919,1229,39483,1161
202411,4200101,ABELARDO LUZ,42,SANTA CATARINA,SU,SUL,63746582.96,241008,40673158.19,20466,64189737.63,121581,41298629.75,58671,9640,827,9529,806
