AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202508,4311775,MAQUINÉ,43,RIO GRANDE DO SUL,SU,SUL,24500606.46,124495,9131581.81,8754,26606250.42,62466,9969261.87,23134,4047,328,3794,317
202503,2300101,ABAIARA,23,CEARÁ,NE,NORDESTE,20726276.95,150327,2568824.2,5297,19403527.01,98106,5336493.26,26272,4458,128,4400,127
202112,2101251,BACABEIRA,21,MARANHÃO,NE,NORDESTE,9465809.02,49619,5504203.19,2749,10417433.86,47475,4833246.13,5140,3687,137,4231,125
202506,2906501,CANDEIAS,29,BAHIA,NE,NORDESTE,368168778.62,2845320,267338373.06,102883,347169825.38,1883350,317855055.06,361420,59466,2146,59357,2031
202202,4314308,PEJUÇARA,43,RIO GRANDE DO SUL,SU,SUL,4913194.61,11235,458140.56,613,3574635.15,7141,434426.3,1629,1311,91,1097,85
202312,4106506,CORONEL VIVIDA,41,PARANÁ,SU,SUL,72256704.67,262022,56581215.49,24992,63374372.53,146121,65147383.44,66518,11363,1012,11194,1007
202309,5107602,RONDONÓPOLIS,51,MATO GROSSO,CO,CENTRO-OESTE,978521934.28,3772916,1428568027.14,461164,1110298845.12,2600158,1517328463.46,870578,148104,13932,147841,13164
202408,5203807,BRITÂNIA,52,GOIÁS,CO,CENTRO-OESTE,20854205.42,111342,19977315.46,12360,21791453.2,61931,20612954.36,36979,3794,329,3802,305
202505,2604106,CARUARU,26,PERNAMBUCO,NE,NORDESTE,1852567016.74,10453236,1044386302.0,995940,1884840840.51,7710120,1131133842.1,4074828,237974,19639,236054,17564
202011,4125555,SÃO MANOEL DO PARANÁ,41,PARANÁ,SU,SUL,21594.03,44,20370.0,7,22359.19,61,2370.0,1,26,3,34,1
202505,5203807,BRITÂNIA,52,GOIÁS,CO,CENTRO-OESTE,26358088.15,131801,12521770.76,13616,25193076.6,70304,16072920.98,45115,3969,338,4009,311
202509,5208608,GOIANÉSIA,52,GOIÁS,CO,CENTRO-OESTE,78138524.65,262558,50388754.28,30232,79531989.52,157066,75446408.53,87750,38994,3510,33829,3121
202302,4314902,PORTO ALEGRE,43,RIO GRANDE DO SUL,SU,SUL,4086066294.31,15155718,6920718256.07,2712838,4177186440.64,10724955,6497382801.08,7812445,905494,81286,862967,76806
202406,2510105,NOVA FLORESTA,25,PARAÍBA,NE,NORDESTE,20488007.15,154711,3055016.13,4716,19093087.99,112784,3522973.07,18248,5034,184,4919,169
202104,3204906,SÃO MATEUS,32,ESPÍRITO SANTO,SE,SUDESTE,81591874.73,205542,30242094.96,13698,77353969.73,194768,27649892.16,22449,28686,1761,30254,1899
202206,4211850,OURO VERDE,42,SANTA CATARINA,SU,SUL,2355148.97,5735,643315.41,344,1761065.05,3108,678371.97,747,634,35,551,41
202412,4215802,SÃO BENTO DO SUL,42,SANTA CATARINA,SU,SUL,335117983.7,1539350,484310719.42,145565,351637245.73,825373,420243579.46,304094,53726,5796,52655,5626
