AnoMes,PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,FORMAINICIACAO,NATUREZA,FINALIDADE,VALOR,QUANTIDADE
202306,PF,PF,SUDESTE,NORTE,entre 40 e 49 anos,entre 40 e 49 anos,MANU,P2P,Pix,5471734.15,17371
202304,PF,PF,NORDESTE,SUDESTE,entre 30 e 39 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,163134.12,435
202508,PF,PJ,SUL,SUL,entre 20 e 29 anos,Nao se aplica,DICT,P2B,Pix,2151567624.57,5618947
202307,PF,PF,Nao informado,NORDESTE,entre 50 e 59 anos,entre 20 e 29 anos,QRES,P2P,Pix,47498.03,136
202402,PF,PF,SUL,Nao informado,entre 50 e 59 anos,até 19 anos,QRES,P2P,Pix,1431.0,4
202305,PF,PF,NORDESTE,NORDESTE,entre 50 e 59 anos,mais de 60 anos,MANU,P2P,Pix,99224255.65,316660
202507,PF,PJ,Nao informado,NORDESTE,entre 20 e 29 anos,Nao se aplica,Nao disponivel,P2B,Nao disponivel,68143.78,12
202306,PF,PF,NORDESTE,SUL,entre 50 e 59 anos,entre 20 e 29 anos,Nao disponivel,P2P,Nao disponivel,8583.24,141
202406,PF,PF,Nao informado,NORDESTE,até 19 anos,entre 50 e 59 anos,DICT,P2P,Pix,43537.42,240
202409,PF,PF,SUL,SUDESTE,até 19 anos,entre 20 e 29 anos,QRES,P2P,Pix,622695.88,29066
202504,PF,PF,NORDESTE,NORDESTE,até 19 anos,entre 30 e 39 anos,DICT,P2P,Pix,431035454.85,5142705
202408,PF,PF,CENTRO-OESTE,CENTRO-OESTE,entre 30 e 39 anos,entre 50 e 59 anos,QRES,P2P,Pix,26151989.87,586500
202410,PF,PF,SUDESTE,Nao informado,entre 20 e 29 anos,mais de 60 anos,MANU,P2P,Pix,550032.88,385
202308,PF,PF,Nao informado,NORDESTE,até 19 anos,até 19 anos,QRES,P2P,Pix,407.42,71
202401,PJ,PF,NORDESTE,Nao informado,Nao se aplica,entre 20 e 29 anos,MANU,B2P,Pix,504563.16,1528
202412,PF,PJ,NORTE,NORTE,entre 20 e 29 anos,Nao se aplica,DICT,P2G,Pix,177062.56,681
202411,PF,PF,NORTE,NORTE,até 19 anos,até 19 anos,Nao disponivel,P2P,Nao disponivel,1444079.19,27070
202508,PF,PF,NORTE,SUDESTE,até 19 anos,até 19 anos,MANU,P2P,Pix,335151.91,13025
202304,PF,PF,SUL,Nao informado,entre 50 e 59 anos,entre 40 e 49 anos,MANU,P2P,Pix,141744.05,220
202404,PF,PF,CENTRO-OESTE,NORTE,entre 30 e 39 anos,até 19 anos,QRDN,P2P,Pix,32887.15,847
202402,PF,PF,SUDESTE,NORDESTE,entre 50 e 59 anos,até 19 anos,DICT,P2P,Pix,8839756.31,77505
202401,PF,PF,SUDESTE,NORTE,entre 30 e 39 anos,mais de 60 anos,QRES,P2P,Pix,248365.85,6291
202311,PF,PJ,SUDESTE,SUL,mais de 60 anos,Nao se aplica,QRES,P2B,Pix Saque,986.66,4
202412,PJ,PF,SUDESTE,SUDESTE,Nao se aplica,entre 40 e 49 anos,DICT,B2P,Pix,24226119086.71,29240451
202406,PF,PF,NORTE,Nao informado,até 19 anos,entre 50 e 59 anos,DICT,P2P,Pix,18309.94,290
202308,PF,PF,NORDESTE,CENTRO-OESTE,entre 40 e 49 anos,entre 50 e 59 anos,MANU,P2P,Pix,3612707.88,17445
202307,PF,PF,CENTRO-OESTE,SUL,entre 30 e 39 anos,entre 40 e 49 anos,MANU,P2P,Pix,3259854.52,13610
202504,PJ,PJ,NORTE,NORDESTE,Nao se aplica,Nao se aplica,QRDN,G2G,Pix,403.0,1
202402,PJ,PF,NORTE,NORTE,Nao se aplica,entre 30 e 39 anos,Nao disponivel,G2P,Nao disponivel,606.0,3
202409,PF,PF,Nao informado,CENTRO-OESTE,entre 30 e 39 anos,entre 40 e 49 anos,QRDN,P2P,Pix,15964.88,414
202401,PF,PF,NORTE,SUDESTE,mais de 60 anos,entre 20 e 29 anos,MANU,P2P,Pix,448528.24,3140
202508,PF,PF,NORDESTE,NORTE,entre 50 e 59 anos,entre 20 e 29 anos,APDN,P2P,Pix,364.43,9
202307,PF,PF,Nao informado,CENTRO-OESTE,entre 20 e 29 anos,entre 20 e 29 anos,MANU,P2P,Pix,134121.33,482
202408,PF,PF,NORTE,SUDESTE,entre 20 e 29 anos,até 19 anos,DICT,P2P,Pix,4169212.39,58999
202504,PF,PF,NORTE,Nao informado,entre 40 e 49 anos,mais de 60 anos,QRES,P2P,Pix,13601.87,340
202306,PF,PF,SUDESTE,NORTE,mais de 60 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,7695.1,23
202312,PF,PJ,NORDESTE,SUL,mais de 60 anos,Nao se aplica,QRDN,P2B,Pix,53166475.31,928280
202304,PF,PF,CENTRO-OESTE,Nao informado,entre 40 e 49 anos,entre 20 e 29 anos,DICT,P2P,Pix,583686.98,2363
202404,PF,PF,SUL,SUL,entre 30 e 39 anos,entre 30 e 39 anos,QRDN,P2P,Pix,13416712.61,298347
202501,PF,PJ,NORDESTE,SUL,mais de 60 anos,Nao se aplica,QRDN,P2B,Pix Troco,426.0,2
202312,PF,PF,SUL,CENTRO-OESTE,mais de 60 anos,entre 30 e 39 anos,QRDN,P2P,Pix,41073.43,585
202503,PF,PJ,NORDESTE,SUDESTE,mais de 60 anos,Nao se aplica,DICT,P2B,Pix,148604945.23,125572
202405,PJ,PF,Nao informado,NORDESTE,Nao se aplica,até 19 anos,QRES,B2P,Pix,893.09,3
202504,PF,PF,CENTRO-OESTE,Nao informado,até 19 anos,entre 40 e 49 anos,MANU,P2P,Pix,15092.58,145
202402,PJ,PJ,NORDESTE,Nao informado,Nao se aplica,Nao se aplica,DICT,B2B,Pix,630029.77,267
202306,PJ,PF,SUDESTE,Nao informado,Nao se aplica,até 19 anos,Nao disponivel,B2P,Nao disponivel,5404.12,140
202403,PJ,PF,NORTE,NORDESTE,Nao se aplica,até 19 anos,DICT,G2P,Pix,800.0,2
202506,PF,PF,SUL,Nao informado,entre 30 e 39 anos,mais de 60 anos,QRDN,P2P,Pix,1086.0,37
202411,PF,PF,CENTRO-OESTE,Nao informado,até 19 anos,entre 20 e 29 anos,QRDN,P2P,Pix,2155.13,31
202407,PJ,PF,Nao informado,SUL,Nao se aplica,entre 50 e 59 anos,MANU,B2P,Pix,161.34,1
202506,PF,PF,Nao informado,SUDESTE,até 19 anos,entre 20 e 29 anos,QRES,P2P,Pix,1964.32,117
202401,PJ,PF,SUDESTE,SUDESTE,Nao se aplica,mais de 60 anos,DICT,G2P,Pix,3244375.78,2253
202304,PF,PF,CENTRO-OESTE,SUL,entre 50 e 59 anos,mais de 60 anos,DICT,P2P,Pix,8270843.36,11424
202312,PF,PF,SUL,SUL,entre 50 e 59 anos,até 19 anos,QRES,P2P,Pix,1165729.61,12048
202410,PF,PF,Nao informado,NORTE,entre 20 e 29 anos,entre 30 e 39 anos,DICT,P2P,Pix,2247271.31,9500
202408,PF,PF,SUDESTE,CENTRO-OESTE,entre 30 e 39 anos,entre 40 e 49 anos,Nao disponivel,P2P,Nao disponivel,466126.15,893
202504,PF,PJ,NORTE,NORTE,mais de 60 anos,Nao se aplica,QRES,P2B,Pix Saque,3239.09,10
202506,PF,PF,NORTE,Nao informado,até 19 anos,entre 20 e 29 anos,QRDN,P2P,Pix,1794.48,80
202410,PF,PF,SUDESTE,SUL,entre 20 e 29 anos,entre 50 e 59 anos,QRDN,P2P,Pix,425375.31,15909
202403,PF,PF,NORDESTE,CENTRO-OESTE,entre 40 e 49 anos,mais de 60 anos,QRDN,P2P,Pix,308997.88,6401
202508,PJ,PF,CENTRO-OESTE,NORTE,Nao se aplica,entre 40 e 49 anos,MANU,B2P,Pix,72410695.25,10279
202310,PF,PF,SUDESTE,SUDESTE,entre 50 e 59 anos,entre 20 e 29 anos,QRDN,P2P,Pix,6250496.71,155854
202402,PF,PF,CENTRO-OESTE,CENTRO-OESTE,entre 50 e 59 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,467273.16,1051
202502,PF,PF,SUL,SUDESTE,entre 30 e 39 anos,mais de 60 anos,QRDN,P2P,Pix,523738.13,12386
202304,PF,PJ,NORTE,SUL,entre 20 e 29 anos,Nao se aplica,MANU,P2B,Pix,3883920.62,14814
202310,PJ,PF,CENTRO-OESTE,Nao informado,Nao se aplica,entre 30 e 39 anos,Nao disponivel,B2P,Nao disponivel,3725.1,17
202310,PF,PF,NORTE,NORTE,entre 20 e 29 anos,entre 40 e 49 anos,QRES,P2P,Pix,31528463.1,1183670
202403,PF,PF,Nao informado,NORTE,entre 30 e 39 anos,entre 20 e 29 anos,DICT,P2P,Pix,1895551.19,12057
202309,PF,PF,CENTRO-OESTE,CENTRO-OESTE,mais de 60 anos,entre 20 e 29 anos,QRES,P2P,Pix,2646150.16,22475
